date,service,region,cost,instances,cpu_utilization
1/19/2026,S3,eu-west-1,21,0,0
1/20/2026,EC2,ap-south-1,196,8,57
1/20/2026,EC2,us-east-1,621,8,82
1/20/2026,EC2,eu-west-1,101,3,42
1/20/2026,RDS,ap-south-1,165,3,46
1/20/2026,RDS,us-east-1,67,2,45
1/20/2026,RDS,eu-west-1,156,2,51
1/20/2026,S3,ap-south-1,15,0,0
1/20/2026,S3,us-east-1,15,0,0
1/20/2026,S3,eu-west-1,35,0,0
1/21/2026,EC2,ap-south-1,102,6,45
1/21/2026,EC2,us-east-1,158,9,37
1/21/2026,EC2,eu-west-1,93,2,44
1/21/2026,RDS,ap-south-1,67,5,43
1/21/2026,RDS,us-east-1,83,3,20
1/21/2026,RDS,eu-west-1,104,4,60
1/21/2026,S3,ap-south-1,18,0,0
1/21/2026,S3,us-east-1,30,0,0
1/21/2026,S3,eu-west-1,11,0,0
1/22/2026,EC2,ap-south-1,166,3,51
1/22/2026,EC2,us-east-1,121,4,44
1/22/2026,EC2,eu-west-1,191,4,84
1/22/2026,RDS,ap-south-1,138,5,58
1/22/2026,RDS,us-east-1,161,4,41
1/22/2026,RDS,eu-west-1,171,2,43
1/22/2026,S3,ap-south-1,33,0,0
1/22/2026,S3,us-east-1,23,0,0
1/22/2026,S3,eu-west-1,49,0,0
1/23/2026,EC2,ap-south-1,80,10,64
1/23/2026,EC2,us-east-1,192,8,68
1/23/2026,EC2,eu-west-1,105,4,67
1/23/2026,RDS,ap-south-1,113,3,49
1/23/2026,RDS,us-east-1,116,1,34
1/23/2026,RDS,eu-west-1,126,3,57
1/23/2026,S3,ap-south-1,47,0,0
1/23/2026,S3,us-east-1,47,0,0
1/23/2026,S3,eu-west-1,21,0,0
1/24/2026,EC2,ap-south-1,163,6,85
1/24/2026,EC2,us-east-1,192,7,75
1/24/2026,EC2,eu-west-1,190,5,79
1/24/2026,RDS,ap-south-1,132,2,36
1/24/2026,RDS,us-east-1,119,4,55
1/24/2026,RDS,eu-west-1,72,4,56
1/24/2026,S3,ap-south-1,31,0,0
1/24/2026,S3,us-east-1,43,0,0
1/24/2026,S3,eu-west-1,17,0,0
1/25/2026,EC2,ap-south-1,111,10,46
1/25/2026,EC2,us-east-1,119,9,60
1/25/2026,EC2,eu-west-1,165,3,61
1/25/2026,RDS,ap-south-1,181,5,19
1/25/2026,RDS,us-east-1,163,1,42
1/25/2026,RDS,eu-west-1,166,4,54
1/25/2026,S3,ap-south-1,33,0,0
1/25/2026,S3,us-east-1,49,0,0
1/25/2026,S3,eu-west-1,30,0,0
1/26/2026,EC2,ap-south-1,186,4,58
1/26/2026,EC2,us-east-1,151,8,52
1/26/2026,EC2,eu-west-1,197,8,76
1/26/2026,RDS,ap-south-1,178,3,26
1/26/2026,RDS,us-east-1,170,1,18
1/26/2026,RDS,eu-west-1,161,4,39
1/26/2026,S3,ap-south-1,25,0,0
1/26/2026,S3,us-east-1,29,0,0
1/26/2026,S3,eu-west-1,45,0,0
1/27/2026,EC2,ap-south-1,524,10,29
1/27/2026,EC2,us-east-1,169,7,36
1/27/2026,EC2,eu-west-1,123,10,66
1/27/2026,RDS,ap-south-1,97,2,33
1/27/2026,RDS,us-east-1,91,2,48
1/27/2026,RDS,eu-west-1,198,3,58
1/27/2026,S3,ap-south-1,42,0,0
1/27/2026,S3,us-east-1,32,0,0
1/27/2026,S3,eu-west-1,40,0,0
1/28/2026,EC2,ap-south-1,131,6,69
1/28/2026,EC2,us-east-1,107,2,78
1/28/2026,EC2,eu-west-1,89,6,71
1/28/2026,RDS,ap-south-1,74,2,20
1/28/2026,RDS,us-east-1,68,1,41
1/28/2026,RDS,eu-west-1,63,4,46
1/28/2026,S3,ap-south-1,23,0,0
1/28/2026,S3,us-east-1,27,0,0
1/28/2026,S3,eu-west-1,41,0,0
1/29/2026,EC2,ap-south-1,171,4,62
1/29/2026,EC2,us-east-1,93,4,37
1/29/2026,EC2,eu-west-1,146,2,52
1/29/2026,RDS,ap-south-1,128,5,64
1/29/2026,RDS,us-east-1,96,1,31
1/29/2026,RDS,eu-west-1,136,2,64
1/29/2026,S3,ap-south-1,39,0,0
1/29/2026,S3,us-east-1,17,0,0
1/29/2026,S3,eu-west-1,19,0,0
1/30/2026,EC2,ap-south-1,121,3,21
1/30/2026,EC2,us-east-1,90,5,40
1/30/2026,EC2,eu-west-1,177,2,82
1/30/2026,RDS,ap-south-1,122,2,45
1/30/2026,RDS,us-east-1,175,4,58
1/30/2026,RDS,eu-west-1,137,3,49
1/30/2026,S3,ap-south-1,46,0,0
1/30/2026,S3,us-east-1,46,0,0
1/30/2026,S3,eu-west-1,14,0,0
1/31/2026,EC2,ap-south-1,127,4,72
1/31/2026,EC2,us-east-1,128,9,35
1/31/2026,EC2,eu-west-1,118,3,58
1/31/2026,RDS,ap-south-1,194,5,50
1/31/2026,RDS,us-east-1,136,2,42
1/31/2026,RDS,eu-west-1,118,4,25
1/31/2026,S3,ap-south-1,47,0,0
1/31/2026,S3,us-east-1,38,0,0
1/31/2026,S3,eu-west-1,20,0,0
2/1/2026,EC2,ap-south-1,128,4,22
2/1/2026,EC2,us-east-1,196,7,20
2/1/2026,EC2,eu-west-1,156,10,70
2/1/2026,RDS,ap-south-1,74,1,18
2/1/2026,RDS,us-east-1,104,4,21
2/1/2026,RDS,eu-west-1,93,1,48
2/1/2026,S3,ap-south-1,48,0,0
2/1/2026,S3,us-east-1,38,0,0
2/1/2026,S3,eu-west-1,10,0,0
2/2/2026,EC2,ap-south-1,148,4,52
2/2/2026,EC2,us-east-1,137,8,73
2/2/2026,EC2,eu-west-1,109,10,33
2/2/2026,RDS,ap-south-1,161,3,50
2/2/2026,RDS,us-east-1,113,4,35
2/2/2026,RDS,eu-west-1,155,2,17
2/2/2026,S3,ap-south-1,27,0,0
2/2/2026,S3,us-east-1,33,0,0
2/2/2026,S3,eu-west-1,46,0,0
2/3/2026,EC2,ap-south-1,164,10,33
2/3/2026,EC2,us-east-1,173,10,65
2/3/2026,EC2,eu-west-1,114,3,51
2/3/2026,RDS,ap-south-1,185,5,60
2/3/2026,RDS,us-east-1,160,1,21
2/3/2026,RDS,eu-west-1,157,2,37
2/3/2026,S3,ap-south-1,35,0,0
2/3/2026,S3,us-east-1,28,0,0
2/3/2026,S3,eu-west-1,44,0,0
2/4/2026,EC2,ap-south-1,91,5,40
2/4/2026,EC2,us-east-1,193,6,48
2/4/2026,EC2,eu-west-1,112,8,61
2/4/2026,RDS,ap-south-1,191,5,61
2/4/2026,RDS,us-east-1,112,5,47
2/4/2026,RDS,eu-west-1,149,3,30
2/4/2026,S3,ap-south-1,24,0,0
2/4/2026,S3,us-east-1,49,0,0
2/4/2026,S3,eu-west-1,11,0,0
2/5/2026,EC2,ap-south-1,152,7,54
2/5/2026,EC2,us-east-1,114,4,60
2/5/2026,EC2,eu-west-1,162,9,47
2/5/2026,RDS,ap-south-1,92,4,36
2/5/2026,RDS,us-east-1,106,5,56
2/5/2026,RDS,eu-west-1,144,2,49
2/5/2026,S3,ap-south-1,50,0,0
2/5/2026,S3,us-east-1,19,0,0
2/5/2026,S3,eu-west-1,32,0,0
2/6/2026,EC2,ap-south-1,115,9,72
2/6/2026,EC2,us-east-1,528,8,67
2/6/2026,EC2,eu-west-1,183,7,58
2/6/2026,RDS,ap-south-1,72,4,48
2/6/2026,RDS,us-east-1,196,1,18
2/6/2026,RDS,eu-west-1,66,2,21
2/6/2026,S3,ap-south-1,10,0,0
2/6/2026,S3,us-east-1,50,0,0
2/6/2026,S3,eu-west-1,13,0,0
2/7/2026,EC2,ap-south-1,127,6,20
2/7/2026,EC2,us-east-1,120,2,69
2/7/2026,EC2,eu-west-1,131,2,72
2/7/2026,RDS,ap-south-1,81,3,65
2/7/2026,RDS,us-east-1,181,3,35
2/7/2026,RDS,eu-west-1,194,3,19
2/7/2026,S3,ap-south-1,50,0,0
2/7/2026,S3,us-east-1,43,0,0
2/7/2026,S3,eu-west-1,46,0,0
2/8/2026,EC2,ap-south-1,159,6,31
2/8/2026,EC2,us-east-1,148,3,77
2/8/2026,EC2,eu-west-1,94,2,25
2/8/2026,RDS,ap-south-1,171,1,51
2/8/2026,RDS,us-east-1,130,2,59
2/8/2026,RDS,eu-west-1,62,1,63
2/8/2026,S3,ap-south-1,29,0,0
2/8/2026,S3,us-east-1,32,0,0
2/8/2026,S3,eu-west-1,16,0,0
2/9/2026,EC2,ap-south-1,173,3,30
2/9/2026,EC2,us-east-1,164,2,76
2/9/2026,EC2,eu-west-1,145,6,72
2/9/2026,RDS,ap-south-1,139,5,36
2/9/2026,RDS,us-east-1,148,5,60
2/9/2026,RDS,eu-west-1,132,4,48
2/9/2026,S3,ap-south-1,28,0,0
2/9/2026,S3,us-east-1,25,0,0
2/9/2026,S3,eu-west-1,40,0,0
2/10/2026,EC2,ap-south-1,111,6,34
2/10/2026,EC2,us-east-1,127,4,28
2/10/2026,EC2,eu-west-1,197,6,44
2/10/2026,RDS,ap-south-1,93,4,62
2/10/2026,RDS,us-east-1,184,1,38
2/10/2026,RDS,eu-west-1,197,1,41
2/10/2026,S3,ap-south-1,26,0,0
2/10/2026,S3,us-east-1,14,0,0
2/10/2026,S3,eu-west-1,49,0,0
2/11/2026,EC2,ap-south-1,177,2,49
2/11/2026,EC2,us-east-1,196,6,55
2/11/2026,EC2,eu-west-1,132,9,45
2/11/2026,RDS,ap-south-1,198,3,60
2/11/2026,RDS,us-east-1,149,4,68
2/11/2026,RDS,eu-west-1,74,5,62
2/11/2026,S3,ap-south-1,19,0,0
2/11/2026,S3,us-east-1,25,0,0
2/11/2026,S3,eu-west-1,34,0,0
2/12/2026,EC2,ap-south-1,146,2,83
2/12/2026,EC2,us-east-1,138,4,32
2/12/2026,EC2,eu-west-1,156,7,42
2/12/2026,RDS,ap-south-1,147,2,54
2/12/2026,RDS,us-east-1,170,1,22
2/12/2026,RDS,eu-west-1,191,5,47
2/12/2026,S3,ap-south-1,30,0,0
2/12/2026,S3,us-east-1,24,0,0
2/12/2026,S3,eu-west-1,43,0,0
2/13/2026,EC2,ap-south-1,159,2,22
2/13/2026,EC2,us-east-1,90,7,68
2/13/2026,EC2,eu-west-1,571,4,46
2/13/2026,RDS,ap-south-1,158,1,43
2/13/2026,RDS,us-east-1,108,2,34
2/13/2026,RDS,eu-west-1,63,1,58
2/13/2026,S3,ap-south-1,39,0,0
2/13/2026,S3,us-east-1,17,0,0
2/13/2026,S3,eu-west-1,10,0,0
2/14/2026,EC2,ap-south-1,108,6,24
2/14/2026,EC2,us-east-1,88,3,62
2/14/2026,EC2,eu-west-1,195,3,77
2/14/2026,RDS,ap-south-1,200,5,70
2/14/2026,RDS,us-east-1,147,2,69
2/14/2026,RDS,eu-west-1,90,3,43
2/14/2026,S3,ap-south-1,26,0,0
2/14/2026,S3,us-east-1,43,0,0
2/14/2026,S3,eu-west-1,42,0,0
2/15/2026,EC2,ap-south-1,637,2,72
2/15/2026,EC2,us-east-1,189,3,42
2/15/2026,EC2,eu-west-1,163,8,36
2/15/2026,RDS,ap-south-1,141,5,58
2/15/2026,RDS,us-east-1,126,3,68
2/15/2026,RDS,eu-west-1,141,1,23
2/15/2026,S3,ap-south-1,35,0,0
2/15/2026,S3,us-east-1,49,0,0
2/15/2026,S3,eu-west-1,37,0,0
2/16/2026,EC2,ap-south-1,539,6,29
2/16/2026,EC2,us-east-1,156,9,58
2/16/2026,EC2,eu-west-1,162,8,35
2/16/2026,RDS,ap-south-1,83,3,39
2/16/2026,RDS,us-east-1,134,1,61
2/16/2026,RDS,eu-west-1,184,5,32
2/16/2026,S3,ap-south-1,32,0,0
2/16/2026,S3,us-east-1,25,0,0
2/16/2026,S3,eu-west-1,46,0,0
2/17/2026,EC2,ap-south-1,169,7,77
2/17/2026,EC2,us-east-1,610,4,85
2/17/2026,EC2,eu-west-1,194,9,26
2/17/2026,RDS,ap-south-1,134,4,66
2/17/2026,RDS,us-east-1,64,5,54
2/17/2026,RDS,eu-west-1,74,2,33
2/17/2026,S3,ap-south-1,14,0,0
2/17/2026,S3,us-east-1,22,0,0
2/17/2026,S3,eu-west-1,19,0,0
2/18/2026,EC2,ap-south-1,115,6,20
2/18/2026,EC2,us-east-1,89,2,69
2/18/2026,EC2,eu-west-1,95,10,25
2/18/2026,RDS,ap-south-1,82,5,69
2/18/2026,RDS,us-east-1,172,4,15
2/18/2026,RDS,eu-west-1,106,4,16
2/18/2026,S3,ap-south-1,33,0,0
2/18/2026,S3,us-east-1,22,0,0
2/18/2026,S3,eu-west-1,13,0,0
2/19/2026,EC2,ap-south-1,191,10,75
2/19/2026,EC2,us-east-1,111,5,41
2/19/2026,EC2,eu-west-1,160,4,43
2/19/2026,RDS,ap-south-1,125,3,46
2/19/2026,RDS,us-east-1,133,3,32
2/19/2026,RDS,eu-west-1,122,1,15
2/19/2026,S3,ap-south-1,17,0,0
2/19/2026,S3,us-east-1,34,0,0
2/19/2026,S3,eu-west-1,15,0,0
2/20/2026,EC2,ap-south-1,113,7,73
2/20/2026,EC2,us-east-1,193,4,74
2/20/2026,EC2,eu-west-1,129,2,34
2/20/2026,RDS,ap-south-1,154,4,29
2/20/2026,RDS,us-east-1,101,1,22
2/20/2026,RDS,eu-west-1,118,4,61
2/20/2026,S3,ap-south-1,21,0,0
2/20/2026,S3,us-east-1,29,0,0
2/20/2026,S3,eu-west-1,18,0,0
2/21/2026,EC2,ap-south-1,509,6,33
2/21/2026,EC2,us-east-1,86,4,24
2/21/2026,EC2,eu-west-1,117,5,63
2/21/2026,RDS,ap-south-1,170,5,15
2/21/2026,RDS,us-east-1,93,2,38
2/21/2026,RDS,eu-west-1,111,3,36
2/21/2026,S3,ap-south-1,47,0,0
2/21/2026,S3,us-east-1,10,0,0
2/21/2026,S3,eu-west-1,27,0,0
2/22/2026,EC2,ap-south-1,128,7,20
2/22/2026,EC2,us-east-1,103,5,40
2/22/2026,EC2,eu-west-1,163,7,69
2/22/2026,RDS,ap-south-1,72,4,68
2/22/2026,RDS,us-east-1,98,3,21
2/22/2026,RDS,eu-west-1,150,3,27
2/22/2026,S3,ap-south-1,48,0,0
2/22/2026,S3,us-east-1,20,0,0
2/22/2026,S3,eu-west-1,21,0,0
2/23/2026,EC2,ap-south-1,131,4,69
2/23/2026,EC2,us-east-1,80,10,58
2/23/2026,EC2,eu-west-1,194,2,24
2/23/2026,RDS,ap-south-1,198,2,54
2/23/2026,RDS,us-east-1,177,4,66
2/23/2026,RDS,eu-west-1,68,1,18
2/23/2026,S3,ap-south-1,20,0,0
2/23/2026,S3,us-east-1,46,0,0
2/23/2026,S3,eu-west-1,31,0,0
2/24/2026,EC2,ap-south-1,97,3,72
2/24/2026,EC2,us-east-1,88,2,49
2/24/2026,EC2,eu-west-1,83,3,66
2/24/2026,RDS,ap-south-1,83,3,19
2/24/2026,RDS,us-east-1,160,2,23
2/24/2026,RDS,eu-west-1,129,4,21
2/24/2026,S3,ap-south-1,14,0,0
2/24/2026,S3,us-east-1,22,0,0
2/24/2026,S3,eu-west-1,31,0,0
2/25/2026,EC2,ap-south-1,105,10,31
2/25/2026,EC2,us-east-1,198,9,59
2/25/2026,EC2,eu-west-1,140,9,28
2/25/2026,RDS,ap-south-1,101,2,27
2/25/2026,RDS,us-east-1,117,5,66
2/25/2026,RDS,eu-west-1,160,5,36
2/25/2026,S3,ap-south-1,34,0,0
2/25/2026,S3,us-east-1,11,0,0
2/25/2026,S3,eu-west-1,18,0,0
2/26/2026,EC2,ap-south-1,113,7,61
2/26/2026,EC2,us-east-1,144,3,83
2/26/2026,EC2,eu-west-1,495,7,81
2/26/2026,RDS,ap-south-1,74,2,59
2/26/2026,RDS,us-east-1,172,4,65
2/26/2026,RDS,eu-west-1,126,5,46
2/26/2026,S3,ap-south-1,31,0,0
2/26/2026,S3,us-east-1,46,0,0
2/26/2026,S3,eu-west-1,10,0,0
2/27/2026,EC2,ap-south-1,167,7,61
2/27/2026,EC2,us-east-1,128,7,54
2/27/2026,EC2,eu-west-1,199,4,51
2/27/2026,RDS,ap-south-1,174,2,45
2/27/2026,RDS,us-east-1,70,5,67
2/27/2026,RDS,eu-west-1,111,2,38
2/27/2026,S3,ap-south-1,17,0,0
2/27/2026,S3,us-east-1,10,0,0
2/27/2026,S3,eu-west-1,29,0,0
2/28/2026,EC2,ap-south-1,103,8,51
2/28/2026,EC2,us-east-1,197,7,72
2/28/2026,EC2,eu-west-1,82,2,60
2/28/2026,RDS,ap-south-1,152,4,68
2/28/2026,RDS,us-east-1,168,1,66
2/28/2026,RDS,eu-west-1,163,5,22
2/28/2026,S3,ap-south-1,32,0,0
2/28/2026,S3,us-east-1,47,0,0
2/28/2026,S3,eu-west-1,50,0,0
3/1/2026,EC2,ap-south-1,84,3,23
3/1/2026,EC2,us-east-1,104,2,45
3/1/2026,EC2,eu-west-1,139,4,27
3/1/2026,RDS,ap-south-1,132,1,30
3/1/2026,RDS,us-east-1,170,4,26
3/1/2026,RDS,eu-west-1,63,3,42
3/1/2026,S3,ap-south-1,18,0,0
3/1/2026,S3,us-east-1,13,0,0
3/1/2026,S3,eu-west-1,30,0,0
3/2/2026,EC2,ap-south-1,160,3,65
3/2/2026,EC2,us-east-1,113,9,63
3/2/2026,EC2,eu-west-1,190,8,35
3/2/2026,RDS,ap-south-1,78,4,57
3/2/2026,RDS,us-east-1,142,4,35
3/2/2026,RDS,eu-west-1,136,5,30
3/2/2026,S3,ap-south-1,47,0,0
3/2/2026,S3,us-east-1,23,0,0
3/2/2026,S3,eu-west-1,29,0,0
3/3/2026,EC2,ap-south-1,80,2,28
3/3/2026,EC2,us-east-1,160,2,68
3/3/2026,EC2,eu-west-1,136,7,42
3/3/2026,RDS,ap-south-1,159,2,70
3/3/2026,RDS,us-east-1,200,4,44
3/3/2026,RDS,eu-west-1,92,3,54
3/3/2026,S3,ap-south-1,50,0,0
3/3/2026,S3,us-east-1,32,0,0
3/3/2026,S3,eu-west-1,11,0,0
3/4/2026,EC2,ap-south-1,178,6,29
3/4/2026,EC2,us-east-1,116,3,28
3/4/2026,EC2,eu-west-1,190,10,46
3/4/2026,RDS,ap-south-1,179,3,53
3/4/2026,RDS,us-east-1,100,5,66
3/4/2026,RDS,eu-west-1,122,4,60
3/4/2026,S3,ap-south-1,19,0,0
3/4/2026,S3,us-east-1,46,0,0
3/4/2026,S3,eu-west-1,49,0,0
3/5/2026,EC2,ap-south-1,165,5,42
3/5/2026,EC2,us-east-1,161,7,81
3/5/2026,EC2,eu-west-1,178,7,40
3/5/2026,RDS,ap-south-1,148,3,62
3/5/2026,RDS,us-east-1,82,1,21
3/5/2026,RDS,eu-west-1,72,4,19
3/5/2026,S3,ap-south-1,15,0,0
3/5/2026,S3,us-east-1,20,0,0
3/5/2026,S3,eu-west-1,36,0,0
3/6/2026,EC2,ap-south-1,103,6,70
3/6/2026,EC2,us-east-1,183,8,69
3/6/2026,EC2,eu-west-1,152,2,46
3/6/2026,RDS,ap-south-1,192,3,47
3/6/2026,RDS,us-east-1,72,2,41
3/6/2026,RDS,eu-west-1,100,5,51
3/6/2026,S3,ap-south-1,30,0,0
3/6/2026,S3,us-east-1,24,0,0
3/6/2026,S3,eu-west-1,10,0,0
3/7/2026,EC2,ap-south-1,85,2,32
3/7/2026,EC2,us-east-1,132,7,49
3/7/2026,EC2,eu-west-1,102,8,55
3/7/2026,RDS,ap-south-1,157,3,38
3/7/2026,RDS,us-east-1,61,3,67
3/7/2026,RDS,eu-west-1,62,4,62
3/7/2026,S3,ap-south-1,13,0,0
3/7/2026,S3,us-east-1,10,0,0
3/7/2026,S3,eu-west-1,24,0,0
3/8/2026,EC2,ap-south-1,153,2,38
3/8/2026,EC2,us-east-1,198,10,24
3/8/2026,EC2,eu-west-1,160,5,66
3/8/2026,RDS,ap-south-1,101,1,39
